Fecha,Casos nuevos históricos,Recuperados nuevos históricos,Fallecidos nuevos históricos
2020-03-03,0.0,,
2020-03-04,0.0,,
2020-03-05,0.0,,
2020-03-06,0.0,,
2020-03-07,0.0,,
2020-03-08,0.0,,
2020-03-09,0.0,,
2020-03-10,0.0,,
2020-03-11,0.0,,
2020-03-12,0.0,,
2020-03-13,0.0,,
2020-03-14,0.0,,
2020-03-15,0.0,,
2020-03-16,0.0,,
2020-03-17,0.0,,
2020-03-18,0.0,,
2020-03-19,0.0,,
2020-03-20,0.0,,
2020-03-21,0.0,,
2020-03-22,0.0,,
2020-03-23,1.0,,0.0
2020-03-24,3.0,,0.0
2020-03-25,0.0,,0.0
2020-03-26,1.0,,0.0
2020-03-27,0.0,,0.0
2020-03-28,0.0,,0.0
2020-03-29,1.0,,0.0
2020-03-30,2.0,,0.0
2020-03-31,2.0,,0.0
2020-04-01,0.0,,0.0
2020-04-02,2.0,,0.0
2020-04-03,1.0,,0.0
2020-04-04,4.0,,0.0
2020-04-05,3.0,,0.0
2020-04-06,1.0,,0.0
2020-04-07,2.0,,0.0
2020-04-08,3.0,3.0,0.0
2020-04-09,3.0,0.0,0.0
2020-04-10,6.0,1.0,0.0
2020-04-11,3.0,0.0,0.0
2020-04-12,8.0,0.0,0.0
2020-04-13,6.0,1.0,0.0
2020-04-14,10.0,2.0,0.0
2020-04-15,0.0,2.0,0.0
2020-04-16,4.0,0.0,0.0
2020-04-17,7.0,2.0,0.0
2020-04-18,8.0,1.0,0.0
2020-04-19,9.0,4.0,0.0
2020-04-20,3.0,3.0,0.0
2020-04-21,11.0,1.0,0.0
2020-04-22,10.0,2.0,0.0
2020-04-23,14.0,3.0,0.0
2020-04-24,6.0,3.0,0.0
2020-04-25,9.0,6.0,1.0
2020-04-26,13.0,3.0,0.0
2020-04-27,8.0,8.0,0.0
2020-04-28,5.0,6.0,0.0
2020-04-29,14.0,10.0,0.0
2020-04-30,15.0,0.0,0.0
2020-05-01,2.0,4.0,0.0
2020-05-02,12.0,7.0,0.0
2020-05-03,60.0,8.0,0.0
2020-05-04,23.0,9.0,0.0
2020-05-05,27.0,3.0,0.0
2020-05-06,17.0,11.0,0.0
2020-05-07,78.0,10.0,0.0
2020-05-08,42.0,14.0,0.0
2020-05-09,26.0,6.0,0.0
2020-05-10,35.0,8.0,0.0
2020-05-11,27.0,13.0,0.0
2020-05-12,31.0,8.0,0.0
2020-05-13,37.0,5.0,0.0
2020-05-14,67.0,14.0,0.0
2020-05-15,97.0,15.0,1.0
2020-05-16,66.0,2.0,0.0
2020-05-17,130.0,12.0,2.0
2020-05-18,81.0,60.0,0.0
2020-05-19,53.0,23.0,0.0
2020-05-20,30.0,27.0,0.0
2020-05-21,107.0,17.0,0.0
2020-05-22,147.0,78.0,1.0
2020-05-23,78.0,42.0,0.0
2020-05-24,93.0,26.0,2.0
2020-05-25,66.0,35.0,0.0
2020-05-26,107.0,27.0,1.0
2020-05-27,74.0,31.0,3.0
2020-05-28,146.0,37.0,1.0
2020-05-29,136.0,67.0,2.0
2020-05-30,157.0,96.0,4.0
2020-05-31,111.0,66.0,3.0
2020-06-01,165.0,128.0,1.0
2020-06-02,68.0,81.0,1.0
2020-06-03,88.0,53.0,5.0
2020-06-04,128.0,30.0,0.0
2020-06-05,155.0,107.0,0.0
2020-06-06,129.0,146.0,2.0
2020-06-07,156.0,78.0,5.0
2020-06-08,142.0,91.0,0.0
2020-06-09,99.0,66.0,0.0
2020-06-10,100.0,106.0,11.0
2020-06-11,105.0,71.0,0.0
2020-06-12,127.0,145.0,2.0
2020-06-13,181.0,134.0,4.0
2020-06-14,141.0,153.0,6.0
2020-06-15,113.0,108.0,0.0
2020-06-16,107.0,164.0,0.0
2020-06-17,114.0,67.0,9.0
2020-06-18,82.0,83.0,1.0
2020-06-19,126.0,128.0,3.0
2020-06-20,148.0,155.0,8.0
2020-06-21,115.0,127.0,1.0
2020-06-22,97.0,151.0,0.0
2020-06-23,87.0,142.0,0.0
2020-06-24,62.0,188.0,4.0
2020-06-25,73.0,105.0,1.0
2020-06-26,135.0,125.0,0.0
2020-06-27,59.0,177.0,3.0
2020-06-28,122.0,135.0,3.0
2020-06-29,81.0,135.0,0.0
2020-06-30,75.0,125.0,0.0
2020-07-01,67.0,92.0,0.0
2020-07-02,99.0,95.0,4.0
2020-07-03,83.0,99.0,1.0
2020-07-04,74.0,86.0,2.0
2020-07-05,136.0,92.0,4.0
2020-07-06,124.0,67.0,0.0
2020-07-07,73.0,111.0,0.0
2020-07-08,84.0,102.0,3.0
2020-07-09,78.0,89.0,2.0
2020-07-10,94.0,59.0,0.0
2020-07-11,89.0,72.0,1.0
2020-07-12,97.0,97.0,3.0
2020-07-13,44.0,71.0,0.0
2020-07-14,26.0,75.0,0.0
2020-07-15,49.0,100.0,4.0
2020-07-16,43.0,104.0,2.0
2020-07-17,98.0,56.0,22.0
2020-07-18,105.0,126.0,1.0
2020-07-19,70.0,81.0,1.0
2020-07-20,134.0,84.0,3.0
2020-07-21,54.0,75.0,0.0
2020-07-22,50.0,104.0,0.0
2020-07-23,84.0,74.0,6.0
2020-07-24,125.0,88.0,0.0
2020-07-25,70.0,65.0,3.0
2020-07-26,41.0,50.0,2.0
2020-07-27,120.0,43.0,4.0
2020-07-28,276.0,74.0,1.0
2020-07-29,63.0,74.0,0.0
2020-07-30,116.0,68.0,2.0
2020-07-31,35.0,64.0,4.0
2020-08-01,64.0,106.0,2.0
2020-08-02,61.0,90.0,2.0
2020-08-03,63.0,57.0,3.0
2020-08-04,60.0,101.0,0.0
2020-08-05,83.0,79.0,0.0
2020-08-06,39.0,94.0,4.0
2020-08-07,85.0,89.0,1.0
2020-08-08,27.0,68.0,2.0
2020-08-09,89.0,86.0,1.0
2020-08-10,52.0,124.0,1.0
2020-08-11,124.0,92.0,0.0
2020-08-12,72.0,73.0,0.0
2020-08-13,85.0,80.0,3.0
2020-08-14,72.0,86.0,0.0
2020-08-15,51.0,65.0,0.0
2020-08-16,54.0,69.0,1.0
2020-08-17,93.0,52.0,0.0
2020-08-18,63.0,63.0,0.0
2020-08-19,52.0,72.0,0.0
2020-08-20,52.0,68.0,5.0
2020-08-21,76.0,76.0,0.0
2020-08-22,49.0,64.0,2.0
2020-08-23,69.0,57.0,0.0
2020-08-24,54.0,60.0,3.0
2020-08-25,44.0,83.0,0.0
2020-08-26,38.0,54.0,0.0
2020-08-27,39.0,76.0,2.0
2020-08-28,35.0,66.0,1.0
2020-08-29,64.0,58.0,0.0
2020-08-30,43.0,68.0,4.0
2020-08-31,39.0,30.0,1.0
2020-09-01,28.0,49.0,0.0
2020-09-02,46.0,59.0,0.0
2020-09-03,36.0,49.0,2.0
2020-09-04,36.0,41.0,1.0
2020-09-05,41.0,46.0,0.0
2020-09-06,40.0,46.0,3.0
2020-09-07,21.0,39.0,1.0
2020-09-08,38.0,48.0,0.0
2020-09-09,48.0,28.0,0.0
2020-09-10,30.0,46.0,2.0
2020-09-11,40.0,33.0,0.0
2020-09-12,40.0,56.0,0.0
2020-09-13,61.0,27.0,1.0
2020-09-14,41.0,48.0,1.0
2020-09-15,37.0,48.0,0.0
2020-09-16,21.0,59.0,0.0
2020-09-17,46.0,43.0,3.0
2020-09-18,42.0,45.0,0.0
2020-09-19,20.0,52.0,0.0
2020-09-20,34.0,54.0,1.0
2020-09-21,34.0,37.0,0.0
2020-09-22,28.0,35.0,0.0
2020-09-23,15.0,22.0,0.0
2020-09-24,19.0,48.0,4.0
2020-09-25,41.0,34.0,2.0
2020-09-26,44.0,23.0,0.0
2020-09-27,56.0,38.0,1.0
2020-09-28,35.0,28.0,1.0
2020-09-29,41.0,28.0,0.0
2020-09-30,44.0,48.0,0.0
2020-10-01,49.0,39.0,0.0
2020-10-02,36.0,41.0,4.0
2020-10-03,69.0,21.0,0.0
2020-10-04,29.0,13.0,1.0
2020-10-05,29.0,11.0,1.0
2020-10-06,31.0,26.0,0.0
2020-10-07,25.0,35.0,0.0
2020-10-08,31.0,41.0,1.0
2020-10-09,18.0,27.0,1.0
2020-10-10,33.0,25.0,0.0
2020-10-11,67.0,42.0,0.0
2020-10-12,26.0,26.0,0.0
2020-10-13,21.0,32.0,0.0
2020-10-14,30.0,61.0,0.0
2020-10-15,15.0,46.0,0.0
2020-10-16,35.0,31.0,1.0
2020-10-17,38.0,27.0,3.0
2020-10-18,19.0,34.0,0.0
2020-10-19,36.0,18.0,0.0
2020-10-20,23.0,21.0,0.0
2020-10-21,43.0,27.0,0.0
2020-10-22,31.0,50.0,1.0
2020-10-23,38.0,62.0,0.0
2020-10-24,28.0,93.0,1.0
2020-10-25,31.0,30.0,1.0
2020-10-26,39.0,32.0,0.0
2020-10-27,39.0,31.0,0.0
2020-10-28,34.0,35.0,0.0
2020-10-29,27.0,30.0,1.0
2020-10-30,46.0,18.0,0.0
2020-10-31,56.0,29.0,1.0
2020-11-01,27.0,46.0,0.0
2020-11-02,32.0,29.0,1.0
2020-11-03,7.0,40.0,0.0
2020-11-04,25.0,28.0,0.0
2020-11-05,37.0,65.0,0.0
2020-11-06,54.0,28.0,0.0
2020-11-07,35.0,42.0,0.0
2020-11-08,43.0,29.0,0.0
2020-11-09,43.0,53.0,0.0
2020-11-10,47.0,10.0,0.0
2020-11-11,27.0,29.0,0.0
2020-11-12,52.0,18.0,0.0
2020-11-13,45.0,23.0,1.0
2020-11-14,26.0,40.0,0.0
2020-11-15,29.0,54.0,0.0
2020-11-16,6.0,38.0,1.0
2020-11-17,52.0,56.0,0.0
2020-11-18,28.0,45.0,0.0
2020-11-19,27.0,22.0,1.0
2020-11-20,38.0,19.0,0.0
2020-11-21,27.0,63.0,1.0
2020-11-22,21.0,29.0,1.0
2020-11-23,29.0,26.0,1.0
2020-11-24,11.0,31.0,0.0
2020-11-25,34.0,35.0,0.0
2020-11-26,55.0,17.0,2.0
2020-11-27,47.0,21.0,0.0
2020-11-28,38.0,30.0,2.0
2020-11-29,17.0,42.0,2.0
2020-11-30,28.0,20.0,1.0
2020-12-01,35.0,35.0,0.0
2020-12-02,8.0,25.0,0.0
2020-12-03,21.0,18.0,1.0
2020-12-04,46.0,19.0,0.0
2020-12-05,5.0,60.0,1.0
2020-12-06,42.0,38.0,0.0
