Fecha,Crecimiento diario *,Crecimiento semanal *
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,,
2020-03-15,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-21,,
2020-03-22,,
2020-03-23,inf,inf
2020-03-24,3.0,inf
2020-03-25,0.0,inf
2020-03-26,inf,inf
2020-03-27,0.0,inf
2020-03-28,,inf
2020-03-29,inf,inf
2020-03-30,2.0,7.0
2020-03-31,1.0,1.5
2020-04-01,0.0,1.5
2020-04-02,inf,1.4
2020-04-03,0.5,1.6
2020-04-04,4.0,2.4
2020-04-05,0.75,2.33
2020-04-06,0.33,1.86
2020-04-07,2.0,2.17
2020-04-08,1.5,2.67
2020-04-09,1.0,2.43
2020-04-10,2.0,2.75
2020-04-11,0.5,1.75
2020-04-12,2.67,1.86
2020-04-13,0.75,2.38
2020-04-14,1.67,3.0
2020-04-15,0.0,2.25
2020-04-16,inf,2.18
2020-04-17,1.75,1.73
2020-04-18,1.14,2.05
2020-04-19,1.12,1.69
2020-04-20,0.33,1.32
2020-04-21,3.67,1.08
2020-04-22,0.91,1.44
2020-04-23,1.4,1.68
2020-04-24,0.43,1.61
2020-04-25,1.5,1.44
2020-04-26,1.44,1.5
2020-04-27,0.62,1.73
2020-04-28,0.62,1.55
2020-04-29,2.8,1.33
2020-04-30,1.07,1.13
2020-05-01,0.13,1.08
2020-05-02,6.0,1.11
2020-05-03,5.0,1.76
2020-05-04,0.38,1.85
2020-05-05,1.17,2.35
2020-05-06,0.63,2.26
2020-05-07,4.59,3.13
2020-05-08,0.54,3.92
2020-05-09,0.62,3.96
2020-05-10,1.35,2.14
2020-05-11,0.77,1.92
2020-05-12,1.15,1.67
2020-05-13,1.19,1.77
2020-05-14,1.81,1.21
2020-05-15,1.45,1.24
2020-05-16,0.68,1.32
2020-05-17,1.97,1.83
2020-05-18,0.62,2.02
2020-05-19,0.65,2.07
2020-05-20,0.57,1.9
2020-05-21,3.57,2.13
2020-05-22,1.37,1.92
2020-05-23,0.53,1.74
2020-05-24,1.19,1.29
2020-05-25,0.71,1.13
2020-05-26,1.62,1.18
2020-05-27,0.69,1.28
2020-05-28,1.97,1.26
2020-05-29,0.93,1.14
2020-05-30,1.15,1.24
