Fecha,Casos acumulados en Alto Hospicio,Casos acumulados en Camiña,Casos acumulados en Colchane,Casos acumulados en Huara,Casos acumulados en Iquique,Casos acumulados en Pica,Casos acumulados en Pozo Almonte,Casos acumulados en Comuna desconocida
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,,,,,,,,
2020-03-26,,,,,,,,
2020-03-27,,,,,,,,
2020-03-28,,,,,,,,
2020-03-29,,,,,,,,
2020-03-30,0.0,0.0,0.0,0.0,5.0,0.0,0.0,
2020-03-31,,,,,,,,
2020-04-01,0.0,0.0,0.0,0.0,9.0,0.0,0.0,
2020-04-02,,,,,,,,
2020-04-03,0.0,0.0,0.0,0.0,10.0,0.0,0.0,
2020-04-04,,,,,,,,
2020-04-05,,,,,,,,
2020-04-06,5.0,0.0,0.0,0.0,13.0,0.0,0.0,
2020-04-07,,,,,,,,
2020-04-08,6.0,0.0,0.0,0.0,16.0,0.0,0.0,
2020-04-09,,,,,,,,
2020-04-10,10.0,0.0,0.0,0.0,18.0,5.0,0.0,
2020-04-11,,,,,,,,
2020-04-12,,,,,,,,
2020-04-13,14.0,0.0,0.0,0.0,26.0,10.0,2.0,
2020-04-14,,,,,,,,
2020-04-15,15.0,0.0,0.0,0.0,26.0,19.0,2.0,
2020-04-16,,,,,,,,
2020-04-17,16.0,0.0,0.0,0.0,31.0,24.0,2.0,
2020-04-18,,,,,,,,
2020-04-19,,,,,,,,
2020-04-20,27.0,0.0,0.0,0.0,36.0,28.0,2.0,
2020-04-21,,,,,,,,
2020-04-22,,,,,,,,
2020-04-23,,,,,,,,
2020-04-24,39.0,0.0,0.0,0.0,58.0,31.0,2.0,
2020-04-25,,,,,,,,
2020-04-26,,,,,,,,
2020-04-27,55.0,0.0,0.0,0.0,75.0,31.0,2.0,
2020-04-28,,,,,,,,
