Fecha,Casos activos en Alto Hospicio,Casos activos en Camiña,Casos activos en Colchane,Casos activos en Huara,Casos activos en Iquique,Casos activos en Pica,Casos activos en Pozo Almonte,Casos activos en Comuna desconocida,Tasa de activos (incidencia) *
2020-03-03,,,,,,,,,
2020-03-04,,,,,,,,,
2020-03-05,,,,,,,,,
2020-03-06,,,,,,,,,
2020-03-07,,,,,,,,,
2020-03-08,,,,,,,,,
2020-03-09,,,,,,,,,
2020-03-10,,,,,,,,,
2020-03-11,,,,,,,,,
2020-03-12,,,,,,,,,
2020-03-13,,,,,,,,,
2020-03-14,,,,,,,,,
2020-03-15,,,,,,,,,
2020-03-16,,,,,,,,,
2020-03-17,,,,,,,,,
2020-03-18,,,,,,,,,
2020-03-19,,,,,,,,,
2020-03-20,,,,,,,,,
2020-03-21,,,,,,,,,
2020-03-22,,,,,,,,,
2020-03-23,,,,,,,,,0.26
2020-03-24,,,,,,,,,1.05
2020-03-25,,,,,,,,,1.05
2020-03-26,,,,,,,,,1.31
2020-03-27,,,,,,,,,1.31
2020-03-28,,,,,,,,,1.31
2020-03-29,,,,,,,,,1.57
2020-03-30,,,,,,,,,2.09
2020-03-31,,,,,,,,,2.61
2020-04-01,,,,,,,,,2.61
2020-04-02,,,,,,,,,3.14
2020-04-03,,,,,,,,,3.4
2020-04-04,,,,,,,,,4.44
2020-04-05,,,,,,,,,5.23
2020-04-06,,,,,,,,,5.23
2020-04-07,,,,,,,,,4.96
2020-04-08,,,,,,,,,5.75
2020-04-09,,,,,,,,,6.27
2020-04-10,,,,,,,,,7.84
2020-04-11,,,,,,,,,8.62
2020-04-12,,,,,,,,,10.45
2020-04-13,8.0,0.0,0.0,0.0,11.0,9.0,2.0,,11.5
2020-04-14,,,,,,,,,13.59
2020-04-15,8.0,0.0,0.0,0.0,8.0,17.0,2.0,,13.59
2020-04-16,,,,,,,,,14.11
2020-04-17,7.0,0.0,0.0,0.0,10.0,21.0,0.0,,15.68
2020-04-18,,,,,,,,,16.72
2020-04-19,,,,,,,,,18.29
2020-04-20,15.0,0.0,0.0,0.0,10.0,17.0,0.0,,18.81
2020-04-21,,,,,,,,,21.16
2020-04-22,,,,,,,,,22.99
2020-04-23,,,,,,,,,25.86
2020-04-24,19.0,0.0,0.0,0.0,29.0,13.0,0.0,,25.86
2020-04-25,,,,,,,,,27.17
2020-04-26,,,,,,,,,28.48
