Fecha,Media móvil real de ocupación UCI,Media móvil hipotética de ocupación UCI
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,,
2020-03-15,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-21,,
2020-03-22,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-28,,
2020-03-29,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,,
2020-04-03,,
2020-04-04,,
2020-04-05,,
2020-04-06,,
2020-04-07,,
2020-04-08,,
2020-04-09,,
2020-04-10,,
2020-04-11,,
2020-04-12,,
2020-04-13,,
2020-04-14,,
2020-04-15,,
2020-04-16,,
2020-04-17,,
2020-04-18,,
2020-04-19,,
2020-04-20,39.56,39.71
2020-04-21,37.06,34.81
2020-04-22,37.61,35.36
2020-04-23,38.81,36.56
2020-04-24,40.91,37.36
2020-04-25,44.29,42.99
2020-04-26,47.32,46.02
2020-04-27,51.3,50.0
2020-04-28,52.6,51.3
2020-04-29,51.95,51.95
2020-04-30,50.65,50.65
2020-05-01,51.3,52.6
2020-05-02,49.35,46.97
2020-05-03,51.08,48.7
2020-05-04,51.62,48.05
2020-05-05,53.29,51.02
2020-05-06,58.02,54.45
2020-05-07,62.76,60.2
2020-05-08,66.84,62.24
2020-05-09,71.94,69.73
2020-05-10,72.62,69.39
2020-05-11,75.51,71.43
2020-05-12,79.59,76.53
2020-05-13,81.97,78.23
2020-05-14,84.38,77.03
2020-05-15,86.8,81.48
2020-05-16,87.6,82.9
2020-05-17,91.06,84.89
2020-05-18,90.67,85.56
2020-05-19,88.77,82.64
2020-05-20,87.97,81.05
2020-05-21,88.13,85.28
2020-05-22,85.82,83.47
2020-05-23,83.12,80.15
2020-05-24,79.8,80.3
2020-05-25,77.83,78.82
2020-05-26,74.21,75.2
2020-05-27,72.75,72.27
2020-05-28,71.14,69.18
2020-05-29,71.15,68.7
2020-05-30,73.41,70.12
2020-05-31,75.67,70.98
2020-06-01,78.99,73.53
2020-06-02,85.71,78.99
2020-06-03,87.82,84.03
2020-06-04,89.56,85.06
2020-06-05,92.14,85.86
2020-06-06,92.85,86.76
2020-06-07,94.53,87.89
2020-06-08,96.02,90.34
2020-06-09,96.26,92.74
