Fecha,PCR informados nuevos,Media móvil semanal de PCR informados nuevos
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,,
2020-03-15,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-21,,
2020-03-22,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-28,,
2020-03-29,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,,
2020-04-03,,
2020-04-04,,
2020-04-05,,
2020-04-06,,
2020-04-07,,
2020-04-08,,
2020-04-09,,
2020-04-10,,
2020-04-11,,
2020-04-12,,
2020-04-13,,
2020-04-14,,
2020-04-15,,
2020-04-16,30.0,
2020-04-17,,
2020-04-18,60.0,
2020-04-19,0.0,
2020-04-20,0.0,
2020-04-21,30.0,
2020-04-22,59.0,
2020-04-23,30.0,
2020-04-24,203.0,54.57142857142857
2020-04-25,118.0,62.857142857142854
2020-04-26,58.0,71.14285714285714
2020-04-27,58.0,79.42857142857143
2020-04-28,57.0,83.28571428571429
2020-04-29,111.0,90.71428571428571
2020-04-30,124.0,104.14285714285714
2020-05-01,8.0,76.28571428571429
2020-05-02,102.0,74.0
2020-05-03,90.0,78.57142857142857
2020-05-04,90.0,83.14285714285714
2020-05-05,123.0,92.57142857142857
2020-05-06,53.0,84.28571428571429
2020-05-07,221.0,98.14285714285714
2020-05-08,169.0,121.14285714285714
2020-05-09,184.0,132.85714285714286
2020-05-10,185.0,146.42857142857142
2020-05-11,275.0,172.85714285714286
2020-05-12,0.0,155.28571428571428
2020-05-13,0.0,147.71428571428572
2020-05-14,274.0,155.28571428571428
2020-05-15,346.0,180.57142857142858
2020-05-16,268.0,192.57142857142858
2020-05-17,374.0,219.57142857142858
2020-05-18,284.0,220.85714285714286
2020-05-19,269.0,259.2857142857143
2020-05-20,121.0,276.57142857142856
2020-05-21,361.0,289.0
2020-05-22,342.0,288.42857142857144
2020-05-23,347.0,299.7142857142857
2020-05-24,335.0,294.14285714285717
2020-05-25,365.0,305.7142857142857
2020-05-26,586.0,351.0
2020-05-27,314.0,378.57142857142856
2020-05-28,360.0,378.42857142857144
2020-05-29,470.0,396.7142857142857
2020-05-30,565.0,427.85714285714283
2020-05-31,472.0,447.42857142857144
