Fecha,Casos activos confirmados,Casos activos probables
2020-06-21,982.0,87.0
2020-06-22,992.0,83.0
2020-06-23,927.0,74.0
2020-06-24,862.0,71.0
2020-06-25,822.0,80.0
2020-06-26,839.0,70.0
2020-06-27,793.0,63.0
2020-06-28,821.0,73.0
2020-06-29,819.0,66.0
2020-06-30,771.0,70.0
2020-07-01,746.0,67.0
2020-07-02,743.0,66.0
2020-07-03,731.0,64.0
2020-07-04,718.0,75.0
2020-07-05,769.0,84.0
2020-07-06,828.0,75.0
2020-07-07,792.0,70.0
2020-07-08,771.0,86.0
2020-07-09,773.0,86.0
2020-07-10,807.0,64.0
2020-07-11,812.0,61.0
2020-07-12,824.0,54.0
2020-07-13,797.0,52.0
2020-07-14,748.0,52.0
2020-07-15,693.0,68.0
2020-07-16,632.0,66.0
2020-07-17,658.0,61.0
2020-07-18,636.0,47.0
2020-07-19,624.0,43.0
2020-07-20,671.0,33.0
2020-07-21,655.0,27.0
2020-07-22,600.0,19.0
2020-07-23,604.0,16.0
2020-07-24,642.0,16.0
2020-07-25,642.0,17.0
2020-07-26,631.0,25.0
2020-07-27,705.0,25.0
2020-07-28,907.0,21.0
2020-07-29,896.0,36.0
2020-07-30,942.0,42.0
2020-07-31,907.0,45.0
2020-08-01,865.0,50.0
2020-08-02,832.0,61.0
2020-08-03,835.0,64.0
2020-08-04,794.0,56.0
2020-08-05,798.0,66.0
2020-08-06,738.0,94.0
2020-08-07,733.0,110.0
2020-08-08,689.0,112.0
2020-08-09,691.0,120.0
2020-08-10,618.0,116.0
2020-08-11,650.0,102.0
2020-08-12,651.0,119.0
2020-08-13,653.0,125.0
2020-08-14,638.0,123.0
2020-08-15,625.0,135.0
2020-08-16,609.0,153.0
2020-08-17,649.0,145.0
2020-08-18,650.0,137.0
2020-08-19,628.0,142.0
2020-08-20,607.0,149.0
2020-08-21,607.0,159.0
2020-08-22,590.0,177.0
2020-08-23,602.0,190.0
2020-08-24,593.0,189.0
2020-08-25,553.0,181.0
2020-08-26,536.0,176.0
2020-08-27,497.0,160.0
2020-08-28,465.0,172.0
2020-08-29,471.0,179.0
2020-08-30,443.0,191.0
2020-08-31,451.0,178.0
2020-09-01,430.0,177.0
2020-09-02,418.0,181.0
2020-09-03,404.0,202.0
2020-09-04,398.0,197.0
2020-09-05,393.0,189.0
2020-09-06,384.0,189.0
2020-09-07,365.0,176.0
2020-09-08,356.0,155.0
2020-09-09,376.0,168.0
2020-09-10,358.0,161.0
2020-09-11,365.0,168.0
