Fecha,Casos nuevos con síntomas,Casos nuevos sin síntomas,Casos nuevos por laboratorio,Casos nuevos por antígeno
2020-03-03,0.0,,,
2020-03-04,0.0,,,
2020-03-05,0.0,,,
2020-03-06,0.0,,,
2020-03-07,0.0,,,
2020-03-08,0.0,,,
2020-03-09,0.0,,,
2020-03-10,0.0,,,
2020-03-11,0.0,,,
2020-03-12,0.0,,,
2020-03-13,0.0,,,
2020-03-14,0.0,,,
2020-03-15,0.0,,,
2020-03-16,0.0,,,
2020-03-17,0.0,,,
2020-03-18,0.0,,,
2020-03-19,0.0,,,
2020-03-20,0.0,,,
2020-03-21,0.0,,,
2020-03-22,0.0,,,
2020-03-23,1.0,,,
2020-03-24,3.0,,,
2020-03-25,0.0,,,
2020-03-26,1.0,,,
2020-03-27,0.0,,,
2020-03-28,0.0,,,
2020-03-29,1.0,,,
2020-03-30,2.0,,,
2020-03-31,2.0,,,
2020-04-01,0.0,,,
2020-04-02,2.0,,,
2020-04-03,1.0,,,
2020-04-04,4.0,,,
2020-04-05,3.0,,,
2020-04-06,1.0,,,
2020-04-07,2.0,,,
2020-04-08,3.0,,,
2020-04-09,3.0,,,
2020-04-10,6.0,,,
2020-04-11,3.0,,,
2020-04-12,8.0,,,
2020-04-13,6.0,,,
2020-04-14,10.0,,,
2020-04-15,0.0,,,
2020-04-16,4.0,,,
2020-04-17,7.0,,,
2020-04-18,8.0,,,
2020-04-19,9.0,,,
2020-04-20,3.0,,,
2020-04-21,11.0,,,
2020-04-22,10.0,,,
2020-04-23,14.0,,,
2020-04-24,6.0,,,
2020-04-25,9.0,,,
2020-04-26,13.0,,,
2020-04-27,8.0,,,
2020-04-28,5.0,,,
2020-04-29,14.0,0.0,,
2020-04-30,15.0,0.0,,
2020-05-01,0.0,2.0,,
2020-05-02,11.0,1.0,,
2020-05-03,54.0,6.0,,
2020-05-04,16.0,7.0,,
2020-05-05,14.0,13.0,,
2020-05-06,13.0,4.0,,
2020-05-07,38.0,40.0,,
2020-05-08,5.0,37.0,,
2020-05-09,25.0,1.0,,
2020-05-10,28.0,7.0,,
2020-05-11,18.0,9.0,,
2020-05-12,23.0,8.0,,
2020-05-13,31.0,6.0,,
2020-05-14,51.0,16.0,,
2020-05-15,75.0,22.0,,
2020-05-16,51.0,15.0,,
2020-05-17,108.0,22.0,,
2020-05-18,73.0,8.0,,
2020-05-19,40.0,13.0,,
2020-05-20,28.0,2.0,,
2020-05-21,99.0,8.0,,
2020-05-22,121.0,26.0,,
2020-05-23,68.0,10.0,,
2020-05-24,85.0,8.0,,
2020-05-25,53.0,13.0,,
2020-05-26,97.0,10.0,,
2020-05-27,70.0,4.0,,
2020-05-28,119.0,27.0,,
2020-05-29,130.0,6.0,,
2020-05-30,124.0,33.0,,
2020-05-31,86.0,25.0,,
2020-06-01,152.0,13.0,,
2020-06-02,60.0,8.0,,
2020-06-03,76.0,12.0,,
2020-06-04,108.0,20.0,,
2020-06-05,139.0,16.0,,
2020-06-06,104.0,25.0,,
2020-06-07,119.0,37.0,,
2020-06-08,133.0,9.0,,
2020-06-09,89.0,10.0,,
2020-06-10,79.0,21.0,,
2020-06-11,92.0,13.0,,
2020-06-12,91.0,36.0,,
2020-06-13,152.0,29.0,,
2020-06-14,119.0,22.0,,
2020-06-15,90.0,23.0,,
2020-06-16,96.0,11.0,,
2020-06-17,105.0,9.0,,
2020-06-18,69.0,13.0,0.0,
2020-06-19,108.0,14.0,4.0,
2020-06-20,124.0,19.0,5.0,
2020-06-21,92.0,20.0,3.0,
2020-06-22,76.0,16.0,5.0,
2020-06-23,65.0,18.0,4.0,
2020-06-24,51.0,11.0,0.0,
2020-06-25,58.0,11.0,4.0,
2020-06-26,111.0,19.0,5.0,
2020-06-27,43.0,15.0,1.0,
2020-06-28,101.0,16.0,5.0,
2020-06-29,61.0,15.0,5.0,
2020-06-30,53.0,18.0,4.0,
2020-07-01,51.0,14.0,2.0,
2020-07-02,72.0,17.0,10.0,
2020-07-03,53.0,21.0,9.0,
2020-07-04,55.0,11.0,8.0,
2020-07-05,100.0,30.0,6.0,
2020-07-06,85.0,34.0,5.0,
2020-07-07,45.0,25.0,3.0,
2020-07-08,56.0,27.0,1.0,
2020-07-09,40.0,31.0,7.0,
2020-07-10,68.0,21.0,5.0,
2020-07-11,66.0,20.0,3.0,
2020-07-12,70.0,12.0,15.0,
2020-07-13,23.0,14.0,7.0,
2020-07-14,21.0,2.0,3.0,
2020-07-15,39.0,6.0,4.0,
2020-07-16,30.0,7.0,6.0,
2020-07-17,64.0,21.0,13.0,
2020-07-18,68.0,14.0,23.0,
2020-07-19,55.0,10.0,5.0,
2020-07-20,75.0,38.0,21.0,
2020-07-21,45.0,5.0,4.0,
2020-07-22,41.0,4.0,5.0,
2020-07-23,64.0,9.0,11.0,
2020-07-24,105.0,13.0,7.0,
2020-07-25,48.0,17.0,5.0,
2020-07-26,19.0,20.0,2.0,
2020-07-27,84.0,17.0,19.0,
2020-07-28,116.0,94.0,66.0,
2020-07-29,38.0,9.0,16.0,
2020-07-30,85.0,23.0,8.0,
2020-07-31,17.0,16.0,2.0,
2020-08-01,39.0,21.0,4.0,
2020-08-02,42.0,9.0,10.0,
2020-08-03,25.0,32.0,6.0,
2020-08-04,44.0,10.0,6.0,
2020-08-05,67.0,10.0,6.0,
2020-08-06,13.0,7.0,19.0,
2020-08-07,59.0,12.0,14.0,
2020-08-08,22.0,4.0,1.0,
2020-08-09,58.0,26.0,5.0,
2020-08-10,30.0,18.0,4.0,
2020-08-11,83.0,35.0,6.0,
2020-08-12,42.0,22.0,8.0,
2020-08-13,70.0,12.0,3.0,
2020-08-14,42.0,28.0,2.0,
2020-08-15,31.0,19.0,1.0,
2020-08-16,29.0,23.0,2.0,
2020-08-17,56.0,29.0,8.0,
2020-08-18,32.0,28.0,3.0,
2020-08-19,44.0,5.0,3.0,
2020-08-20,37.0,12.0,3.0,
2020-08-21,48.0,25.0,3.0,
2020-08-22,29.0,18.0,2.0,
2020-08-23,45.0,24.0,0.0,
2020-08-24,34.0,15.0,5.0,
2020-08-25,18.0,21.0,5.0,
2020-08-26,24.0,9.0,5.0,
2020-08-27,18.0,18.0,3.0,
2020-08-28,22.0,11.0,2.0,
2020-08-29,42.0,21.0,1.0,
2020-08-30,29.0,11.0,3.0,
2020-08-31,29.0,8.0,2.0,
2020-09-01,5.0,21.0,2.0,
2020-09-02,33.0,9.0,4.0,
2020-09-03,23.0,11.0,2.0,
2020-09-04,26.0,10.0,0.0,
2020-09-05,17.0,21.0,3.0,
2020-09-06,23.0,16.0,1.0,
2020-09-07,6.0,15.0,0.0,
2020-09-08,16.0,21.0,1.0,
2020-09-09,31.0,14.0,3.0,
2020-09-10,20.0,9.0,1.0,
2020-09-11,24.0,16.0,0.0,
2020-09-12,25.0,15.0,0.0,
2020-09-13,26.0,29.0,6.0,
2020-09-14,24.0,10.0,7.0,
2020-09-15,21.0,15.0,1.0,
2020-09-16,16.0,3.0,2.0,
2020-09-17,28.0,14.0,4.0,
2020-09-18,17.0,16.0,9.0,
2020-09-19,12.0,4.0,4.0,
2020-09-20,13.0,8.0,13.0,
2020-09-21,18.0,7.0,9.0,
2020-09-22,23.0,4.0,1.0,
2020-09-23,11.0,4.0,0.0,
2020-09-24,7.0,11.0,1.0,
2020-09-25,21.0,11.0,9.0,
2020-09-26,29.0,9.0,6.0,
2020-09-27,16.0,16.0,24.0,
2020-09-28,15.0,11.0,9.0,
2020-09-29,22.0,14.0,5.0,
2020-09-30,20.0,13.0,11.0,
2020-10-01,26.0,12.0,11.0,
2020-10-02,24.0,8.0,4.0,
2020-10-03,10.0,9.0,50.0,
2020-10-04,17.0,6.0,6.0,
2020-10-05,18.0,7.0,4.0,
2020-10-06,13.0,15.0,3.0,
2020-10-07,13.0,10.0,2.0,
2020-10-08,21.0,6.0,4.0,
2020-10-09,11.0,7.0,0.0,
2020-10-10,21.0,7.0,5.0,
2020-10-11,12.0,3.0,52.0,
2020-10-12,13.0,13.0,0.0,
2020-10-13,6.0,3.0,12.0,
2020-10-14,27.0,2.0,1.0,
2020-10-15,13.0,2.0,0.0,
2020-10-16,21.0,12.0,2.0,
2020-10-17,18.0,13.0,7.0,
2020-10-18,12.0,6.0,1.0,
2020-10-19,18.0,8.0,10.0,
2020-10-20,5.0,14.0,4.0,
2020-10-21,31.0,12.0,0.0,
2020-10-22,21.0,6.0,4.0,
2020-10-23,22.0,15.0,1.0,
2020-10-24,14.0,12.0,2.0,
2020-10-25,14.0,17.0,0.0,
2020-10-26,18.0,17.0,4.0,
2020-10-27,5.0,13.0,21.0,
2020-10-28,10.0,24.0,0.0,
2020-10-29,11.0,13.0,3.0,
2020-10-30,27.0,16.0,3.0,
2020-10-31,17.0,36.0,3.0,
2020-11-01,19.0,8.0,0.0,
2020-11-02,14.0,16.0,2.0,
2020-11-03,6.0,1.0,0.0,
2020-11-04,16.0,9.0,0.0,
2020-11-05,18.0,15.0,4.0,
2020-11-06,8.0,42.0,4.0,
2020-11-07,13.0,21.0,1.0,
2020-11-08,14.0,29.0,0.0,
2020-11-09,13.0,29.0,1.0,
2020-11-10,13.0,33.0,1.0,
2020-11-11,13.0,13.0,1.0,
2020-11-12,16.0,34.0,2.0,
2020-11-13,22.0,21.0,2.0,
2020-11-14,14.0,11.0,1.0,
2020-11-15,17.0,12.0,0.0,
2020-11-16,3.0,3.0,0.0,
2020-11-17,15.0,33.0,4.0,
2020-11-18,23.0,5.0,0.0,
2020-11-19,10.0,16.0,1.0,
2020-11-20,16.0,22.0,0.0,
2020-11-21,16.0,11.0,0.0,
2020-11-22,5.0,14.0,2.0,
2020-11-23,13.0,15.0,1.0,
2020-11-24,8.0,3.0,0.0,
2020-11-25,25.0,9.0,0.0,
2020-11-26,18.0,37.0,0.0,
2020-11-27,27.0,19.0,1.0,
2020-11-28,13.0,24.0,1.0,
2020-11-29,13.0,4.0,0.0,
2020-11-30,14.0,13.0,1.0,
2020-12-01,20.0,14.0,1.0,
2020-12-02,6.0,2.0,0.0,
2020-12-03,13.0,8.0,0.0,
2020-12-04,19.0,27.0,0.0,
2020-12-05,3.0,2.0,0.0,
2020-12-06,18.0,22.0,2.0,
2020-12-07,38.0,32.0,0.0,
2020-12-08,7.0,10.0,1.0,
