Fecha,Tasa de casos nuevos de casos nuevos por cien mil habitantes
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.04
2020-03-24,0.15
2020-03-25,0.15
2020-03-26,0.19
2020-03-27,0.19
2020-03-28,0.19
2020-03-29,0.22
2020-03-30,0.26
2020-03-31,0.22
2020-04-01,0.22
2020-04-02,0.26
2020-04-03,0.3
2020-04-04,0.45
2020-04-05,0.52
2020-04-06,0.49
2020-04-07,0.49
2020-04-08,0.6
2020-04-09,0.63
2020-04-10,0.82
2020-04-11,0.78
2020-04-12,0.97
2020-04-13,1.16
2020-04-14,1.46
2020-04-15,1.34
2020-04-16,1.38
2020-04-17,1.42
2020-04-18,1.6
2020-04-19,1.64
2020-04-20,1.53
2020-04-21,1.57
2020-04-22,1.94
2020-04-23,2.31
2020-04-24,2.28
2020-04-25,2.31
2020-04-26,2.46
2020-04-27,2.65
2020-04-28,2.43
2020-04-29,2.58
2020-04-30,2.61
2020-05-01,2.46
2020-05-02,2.58
2020-05-03,4.33
2020-05-04,4.89
2020-05-05,5.71
2020-05-06,5.82
2020-05-07,8.17
2020-05-08,9.67
2020-05-09,10.19
2020-05-10,9.26
2020-05-11,9.41
2020-05-12,9.55
2020-05-13,10.3
2020-05-14,9.89
2020-05-15,11.94
2020-05-16,13.44
2020-05-17,16.98
2020-05-18,19.0
2020-05-19,19.82
2020-05-20,19.56
2020-05-21,21.05
2020-05-22,22.92
2020-05-23,23.36
2020-05-24,21.98
2020-05-25,21.42
2020-05-26,23.44
2020-05-27,25.08
2020-05-28,26.54
2020-05-29,26.13
2020-05-30,29.07
2020-05-31,29.75
2020-06-01,33.44
2020-06-02,31.98
2020-06-03,32.51
2020-06-04,31.84
2020-06-05,32.54
2020-06-06,31.5
2020-06-07,33.18
2020-06-08,32.32
2020-06-09,33.48
2020-06-10,33.93
2020-06-11,33.07
2020-06-12,32.02
2020-06-13,33.96
2020-06-14,33.4
2020-06-15,32.32
2020-06-16,32.62
2020-06-17,33.14
2020-06-18,32.28
2020-06-19,32.25
2020-06-20,31.01
2020-06-21,30.04
