Fecha,Tasa de activos (incidencia)
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,0.26
2020-03-24,1.05
2020-03-25,1.05
2020-03-26,1.31
2020-03-27,1.31
2020-03-28,1.31
2020-03-29,1.57
2020-03-30,2.09
2020-03-31,2.61
2020-04-01,2.61
2020-04-02,3.14
2020-04-03,3.4
2020-04-04,4.44
2020-04-05,5.23
2020-04-06,5.23
2020-04-07,4.96
2020-04-08,5.75
2020-04-09,6.27
2020-04-10,7.84
2020-04-11,8.62
2020-04-12,10.45
2020-04-13,11.5
2020-04-14,13.59
2020-04-15,13.59
2020-04-16,14.11
2020-04-17,15.68
2020-04-18,16.72
2020-04-19,18.29
2020-04-20,18.81
2020-04-21,21.16
2020-04-22,22.99
2020-04-23,25.86
2020-04-24,25.86
2020-04-25,27.17
2020-04-26,28.48
2020-04-27,29.0
2020-04-28,27.69
2020-04-29,31.35
2020-04-30,34.22
2020-05-01,32.92
2020-05-02,33.96
2020-05-03,47.29
2020-05-04,52.51
2020-05-05,56.69
2020-05-06,58.52
2020-05-07,75.24
2020-05-08,84.65
2020-05-09,89.35
2020-05-10,95.1
2020-05-11,100.06
2020-05-12,106.85
2020-05-13,112.86
2020-05-14,126.45
2020-05-15,151.0
2020-05-16,165.11
2020-05-17,182.88
2020-05-18,198.03
2020-05-19,204.82
2020-05-20,208.22
2020-05-21,215.79
2020-05-22,242.96
2020-05-23,256.55
2020-05-24,271.18
2020-05-25,281.37
2020-05-26,300.96
2020-05-27,309.84
2020-05-28,330.22
2020-05-29,340.15
2020-05-30,362.88
2020-05-31,357.65
2020-06-01,379.34
2020-06-02,382.99
2020-06-03,396.84
2020-06-04,402.33
2020-06-05,404.68
2020-06-06,417.48
2020-06-07,433.15
2020-06-08,453.01
2020-06-09,451.18
2020-06-10,455.88
2020-06-11,445.43
2020-06-12,443.08
2020-06-13,449.35
2020-06-14,456.41
2020-06-15,443.08
2020-06-16,453.53
2020-06-17,539.75
2020-06-18,527.47
2020-06-19,519.11
2020-06-20,522.5
2020-06-21,256.55
2020-06-22,259.16
2020-06-23,242.18
2020-06-24,225.2
2020-06-25,214.75
2020-06-26,219.19
