Fecha,Mortalidad específica por cien mil habitantes
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.26
2020-04-26,0.26
2020-04-27,0.26
2020-04-28,0.26
2020-04-29,0.26
2020-04-30,0.26
2020-05-01,0.26
2020-05-02,0.26
2020-05-03,0.26
2020-05-04,0.26
2020-05-05,0.26
2020-05-06,0.26
2020-05-07,0.26
2020-05-08,0.26
2020-05-09,0.26
2020-05-10,0.26
2020-05-11,0.26
2020-05-12,0.26
2020-05-13,0.26
2020-05-14,0.26
2020-05-15,0.52
2020-05-16,0.52
2020-05-17,1.05
2020-05-18,1.05
2020-05-19,1.05
2020-05-20,1.05
2020-05-21,1.05
2020-05-22,1.31
2020-05-23,1.31
2020-05-24,1.83
2020-05-25,1.83
2020-05-26,2.09
2020-05-27,2.87
2020-05-28,3.14
2020-05-29,3.66
2020-05-30,4.7
2020-05-31,5.49
2020-06-01,5.75
2020-06-02,6.01
2020-06-03,7.32
2020-06-04,7.32
2020-06-05,7.32
2020-06-06,7.84
2020-06-07,9.14
2020-06-08,9.14
2020-06-09,9.14
2020-06-10,12.02
2020-06-11,12.02
2020-06-12,12.54
2020-06-13,13.59
2020-06-14,15.15
2020-06-15,15.15
2020-06-16,15.15
2020-06-17,17.5
2020-06-18,17.77
2020-06-19,18.55
2020-06-20,20.64
2020-06-21,20.9
2020-06-22,20.9
2020-06-23,20.9
2020-06-24,21.95
2020-06-25,22.21
