Fecha,Media móvil semanal de casos nuevos,Media móvil semanal de recuperados nuevos,Media móvil semanal de fallecidos nuevos
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,0.0,,
2020-03-10,0.0,,
2020-03-11,0.0,,
2020-03-12,0.0,,
2020-03-13,0.0,,
2020-03-14,0.0,,
2020-03-15,0.0,,
2020-03-16,0.0,,
2020-03-17,0.0,,
2020-03-18,0.0,,
2020-03-19,0.0,,
2020-03-20,0.0,,
2020-03-21,0.0,,
2020-03-22,0.0,,
2020-03-23,0.14,,
2020-03-24,0.57,,
2020-03-25,0.57,,
2020-03-26,0.71,,
2020-03-27,0.71,,
2020-03-28,0.71,,
2020-03-29,0.86,,0.0
2020-03-30,1.0,,0.0
2020-03-31,0.86,,0.0
2020-04-01,0.86,,0.0
2020-04-02,1.0,,0.0
2020-04-03,1.14,,0.0
2020-04-04,1.71,,0.0
2020-04-05,2.0,,0.0
2020-04-06,1.86,,0.0
2020-04-07,1.86,,0.0
2020-04-08,2.29,,0.0
2020-04-09,2.43,,0.0
2020-04-10,3.14,,0.0
2020-04-11,3.0,,0.0
2020-04-12,3.71,,0.0
2020-04-13,4.43,,0.0
2020-04-14,5.57,1.0,0.0
2020-04-15,5.14,0.86,0.0
2020-04-16,5.29,0.86,0.0
2020-04-17,5.43,1.0,0.0
2020-04-18,6.14,1.14,0.0
2020-04-19,6.29,1.71,0.0
2020-04-20,5.86,2.0,0.0
2020-04-21,6.0,1.86,0.0
2020-04-22,7.43,1.86,0.0
2020-04-23,8.86,2.29,0.0
2020-04-24,8.71,2.43,0.0
2020-04-25,8.86,3.14,0.14
2020-04-26,9.43,3.0,0.14
2020-04-27,10.14,3.71,0.14
2020-04-28,9.29,4.43,0.14
2020-04-29,9.86,5.57,0.14
2020-04-30,10.0,5.14,0.14
2020-05-01,9.43,5.29,0.14
2020-05-02,9.86,5.43,0.0
2020-05-03,16.57,6.14,0.0
2020-05-04,18.71,6.29,0.0
2020-05-05,21.86,5.86,0.0
2020-05-06,22.29,6.0,0.0
2020-05-07,31.29,7.43,0.0
2020-05-08,37.0,8.86,0.0
2020-05-09,39.0,8.71,0.0
2020-05-10,35.43,8.71,0.0
2020-05-11,36.0,9.29,0.0
2020-05-12,36.57,10.0,0.0
2020-05-13,39.43,9.14,0.0
2020-05-14,37.86,9.71,0.0
