Fecha,Positividad diaria,Positividad media movil *
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,,
2020-03-15,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-21,,
2020-03-22,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-28,,
2020-03-29,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,,
2020-04-03,,
2020-04-04,,
2020-04-05,,
2020-04-06,,
2020-04-07,,
2020-04-08,,
2020-04-09,,
2020-04-10,,
2020-04-11,,
2020-04-12,,
2020-04-13,,
2020-04-14,,
2020-04-15,,
2020-04-16,13.33,
2020-04-17,,
2020-04-18,13.33,
2020-04-19,inf,
2020-04-20,inf,
2020-04-21,36.67,
2020-04-22,16.95,
2020-04-23,46.67,
2020-04-24,2.96,
2020-04-25,7.63,
2020-04-26,22.41,
2020-04-27,13.79,21.01
2020-04-28,8.77,17.03
2020-04-29,12.61,16.41
2020-04-30,12.1,11.47
2020-05-01,25.0,14.62
2020-05-02,11.76,15.21
2020-05-03,66.67,21.53
2020-05-04,25.56,23.21
2020-05-05,21.95,25.09
2020-05-06,32.08,27.87
2020-05-07,35.29,31.19
2020-05-08,24.85,31.17
2020-05-09,14.13,31.5
2020-05-10,18.92,24.68
2020-05-11,9.82,22.43
2020-05-12,inf,
2020-05-13,inf,
2020-05-14,24.45,
2020-05-15,28.03,
2020-05-16,24.63,
2020-05-17,34.76,
2020-05-18,28.52,
2020-05-19,19.7,
2020-05-20,24.79,26.41
2020-05-21,29.64,27.15
2020-05-22,42.98,29.29
2020-05-23,22.48,28.98
2020-05-24,27.76,27.98
2020-05-25,18.08,26.49
2020-05-26,18.26,26.29
2020-05-27,23.57,26.11
2020-05-28,40.56,27.67
2020-05-29,28.94,25.66
2020-05-30,27.79,26.42
2020-05-31,23.52,25.81
2020-06-01,37.08,28.53
2020-06-02,19.65,28.73
2020-06-03,42.51,31.43
2020-06-04,51.61,33.01
2020-06-05,33.84,33.71
2020-06-06,28.92,33.88
2020-06-07,34.67,35.47
2020-06-08,31.63,34.69
2020-06-09,31.73,36.42
2020-06-10,30.4,34.69
2020-06-11,30.52,31.67
2020-06-12,25.66,30.5
2020-06-13,45.82,32.92
