Fecha,Re regional,Re Iquique,Re Tamarugal
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,3.22,3.18,4.05
2020-03-09,2.94,2.85,3.59
2020-03-10,2.52,2.67,3.5
2020-03-11,2.39,2.52,3.44
2020-03-12,2.15,2.31,3.42
2020-03-13,2.16,2.13,3.41
2020-03-14,2.17,1.99,3.2
2020-03-15,2.2,1.9,3.18
2020-03-16,2.22,1.96,3.22
2020-03-17,2.2,2.1,3.3
2020-03-18,2.39,1.97,3.24
2020-03-19,2.11,1.88,3.23
2020-03-20,2.02,1.78,2.94
2020-03-21,1.79,1.72,2.99
2020-03-22,1.71,1.66,2.94
2020-03-23,1.76,1.64,3.27
2020-03-24,1.71,1.67,3.25
2020-03-25,1.68,1.59,2.87
2020-03-26,1.57,1.54,3.13
2020-03-27,1.51,1.49,2.98
2020-03-28,1.49,1.43,2.79
2020-03-29,1.41,1.41,2.52
2020-03-30,1.46,1.42,2.5
2020-03-31,1.49,1.38,2.53
2020-04-01,1.49,1.4,2.84
2020-04-02,1.58,1.42,2.65
2020-04-03,1.57,1.39,2.67
2020-04-04,1.56,1.42,2.36
2020-04-05,1.56,1.43,2.27
2020-04-06,1.5,1.42,2.1
2020-04-07,1.45,1.4,2.0
2020-04-08,1.38,1.35,1.74
2020-04-09,1.34,1.35,1.59
2020-04-10,1.31,1.32,1.41
2020-04-11,1.26,1.28,1.31
2020-04-12,1.21,1.26,1.18
2020-04-13,1.22,1.33,1.13
2020-04-14,1.29,1.39,1.08
2020-04-15,1.33,1.43,1.07
2020-04-16,1.31,1.43,1.09
2020-04-17,1.31,1.46,1.03
2020-04-18,1.28,1.44,1.0
2020-04-19,1.29,1.42,0.98
2020-04-20,1.34,1.5,0.95
2020-04-21,1.32,1.51,0.9
2020-04-22,1.32,1.49,0.87
2020-04-23,1.31,1.46,0.78
2020-04-24,1.32,1.46,0.82
2020-04-25,1.35,1.48,0.84
2020-04-26,1.44,1.5,0.88
2020-04-27,1.61,1.58,0.98
2020-04-28,1.71,1.68,1.08
2020-04-29,1.69,1.66,1.17
2020-04-30,1.69,1.67,1.28
2020-05-01,1.74,1.68,1.36
2020-05-02,1.77,1.7,1.42
2020-05-03,1.79,1.69,1.44
2020-05-04,1.81,1.69,1.42
2020-05-05,1.82,1.62,1.41
2020-05-06,1.82,1.7,1.41
2020-05-07,1.65,1.6,1.4
