Fecha,Incidencia acumulada Alto Hospicio,Incidencia acumulada Camina,Incidencia acumulada Colchane,Incidencia acumulada Huara,Incidencia acumulada Iquique,Incidencia acumulada Pica,Incidencia acumulada Pozo Almonte,Incidencia acumulada regional
2020-03-03,,,,,,,,
2020-03-04,,,,,,,,
2020-03-05,,,,,,,,
2020-03-06,,,,,,,,
2020-03-07,,,,,,,,
2020-03-08,,,,,,,,
2020-03-09,,,,,,,,
2020-03-10,,,,,,,,
2020-03-11,,,,,,,,
2020-03-12,,,,,,,,
2020-03-13,,,,,,,,
2020-03-14,,,,,,,,
2020-03-15,,,,,,,,
2020-03-16,,,,,,,,
2020-03-17,,,,,,,,
2020-03-18,,,,,,,,
2020-03-19,,,,,,,,
2020-03-20,,,,,,,,
2020-03-21,,,,,,,,
2020-03-22,,,,,,,,
2020-03-23,,,,,,,,
2020-03-24,,,,,,,,
2020-03-25,,,,,,,,
2020-03-26,,,,,,,,
2020-03-27,,,,,,,,
2020-03-28,,,,,,,,
2020-03-29,,,,,,,,
2020-03-30,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.3
2020-03-31,,,,,,,,
2020-04-01,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.4
2020-04-02,,,,,,,,
2020-04-03,0.0,0.0,0.0,0.0,4.5,0.0,0.0,2.6
2020-04-04,,,,,,,,
2020-04-05,,,,,,,,
2020-04-06,3.8,0.0,0.0,0.0,5.8,0.0,0.0,4.7
2020-04-07,,,,,,,,
2020-04-08,4.6,0.0,0.0,0.0,7.2,0.0,0.0,5.7
2020-04-09,,,,,,,,
2020-04-10,7.7,0.0,0.0,0.0,8.1,83.9,0.0,8.6
2020-04-11,,,,,,,,
2020-04-12,,,,,,,,
2020-04-13,10.8,0.0,0.0,0.0,11.6,167.8,11.5,13.6
2020-04-14,,,,,,,,
2020-04-15,11.5,0.0,0.0,0.0,11.6,318.9,11.5,16.2
2020-04-16,,,,,,,,
2020-04-17,12.3,0.0,0.0,0.0,13.9,402.8,11.5,19.1
2020-04-18,,,,,,,,
2020-04-19,,,,,,,,
2020-04-20,20.8,0.0,0.0,0.0,16.1,470.0,11.5,24.3
2020-04-21,,,,,,,,
2020-04-22,,,,,,,,
2020-04-23,,,,,,,,
2020-04-24,30.0,0.0,0.0,0.0,26.0,520.3,11.5,34.0
2020-04-25,,,,,,,,
2020-04-26,,,,,,,,
