Fecha,Incidencia regional estimada,Incidencia Iquique estimada,Incidencia Tamarugal estimada
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,1.07,0.79,3.74
2020-04-02,1.22,0.79,3.19
2020-04-03,1.24,0.79,5.65
2020-04-04,1.21,0.83,4.84
2020-04-05,1.19,0.65,5.87
2020-04-06,1.49,1.18,6.09
2020-04-07,1.65,1.17,6.79
2020-04-08,1.47,1.03,5.44
2020-04-09,1.48,1.25,5.6
2020-04-10,1.34,1.15,5.27
2020-04-11,1.37,1.11,4.35
2020-04-12,1.3,1.16,4.64
2020-04-13,2.21,1.92,5.27
2020-04-14,2.32,2.15,5.95
2020-04-15,2.34,2.13,3.99
2020-04-16,2.39,1.92,5.12
2020-04-17,2.13,2.09,2.66
2020-04-18,2.14,1.9,3.0
2020-04-19,2.16,2.1,2.71
2020-04-20,3.65,3.71,3.21
2020-04-21,3.37,3.83,2.17
2020-04-22,3.11,3.39,3.02
2020-04-23,3.36,3.46,1.91
2020-04-24,4.0,3.97,2.59
2020-04-25,3.59,4.08,2.56
2020-04-26,4.84,4.67,2.46
2020-04-27,8.41,7.82,3.57
2020-04-28,9.33,8.89,5.1
2020-04-29,7.8,7.89,5.44
2020-04-30,8.11,8.57,5.15
2020-05-01,10.96,10.5,5.51
2020-05-02,11.05,10.48,4.62
2020-05-03,14.76,11.97,4.28
2020-05-04,18.32,16.89,5.54
2020-05-05,20.44,14.97,6.84
2020-05-06,22.09,21.79,6.07
2020-05-07,13.55,13.44,6.33
2020-05-08,16.37,16.37,6.93
2020-05-09,15.46,15.7,7.59
2020-05-10,16.82,18.19,5.97
2020-05-11,28.43,28.15,14.07
2020-05-12,27.33,27.97,11.38
2020-05-13,27.23,27.52,13.82
2020-05-14,24.85,25.04,14.29
2020-05-15,32.8,33.73,13.66
2020-05-16,27.15,27.12,14.52
2020-05-17,26.16,27.72,13.77
