Fecha,Tasa de casos nuevos Iquique estimada,Tasa de casos nuevos Tamarugal estimada
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,,
2020-03-15,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,,
2020-03-20,,
2020-03-21,,
2020-03-22,,
2020-03-23,,
2020-03-24,,
2020-03-25,,
2020-03-26,,
2020-03-27,,
2020-03-28,,
2020-03-29,,
2020-03-30,,
2020-03-31,,
2020-04-01,,
2020-04-02,,
2020-04-03,,
2020-04-04,,
2020-04-05,,
2020-04-06,,
2020-04-07,0.92,5.15
2020-04-08,0.97,5.29
2020-04-09,1.02,5.51
2020-04-10,1.08,5.3
2020-04-11,1.14,5.46
2020-04-12,1.2,5.44
2020-04-13,1.29,5.14
2020-04-14,1.42,4.88
2020-04-15,1.52,4.91
2020-04-16,1.62,4.86
2020-04-17,1.74,4.64
2020-04-18,1.87,4.44
2020-04-19,2.02,4.12
2020-04-20,2.31,3.96
2020-04-21,2.55,3.6
2020-04-22,2.75,3.17
2020-04-23,2.94,2.74
2020-04-24,3.21,2.58
2020-04-25,3.44,2.57
2020-04-26,3.83,2.58
2020-04-27,4.47,2.74
2020-04-28,5.27,3.11
2020-04-29,5.86,3.66
2020-04-30,6.61,4.02
2020-05-01,7.39,4.62
2020-05-02,8.31,4.82
2020-05-03,9.44,5.08
2020-05-04,10.65,5.34
2020-05-05,11.66,5.64
2020-05-06,13.36,5.93
2020-05-07,14.02,6.46
2020-05-08,14.89,6.63
2020-05-09,15.45,7.12
2020-05-10,16.19,7.49
2020-05-11,17.84,9.04
2020-05-12,19.47,9.78
2020-05-13,20.91,10.51
2020-05-14,22.64,11.14
2020-05-15,25.04,11.98
2020-05-16,26.79,13.27
2020-05-17,28.23,14.2
2020-05-18,29.2,16.92
2020-05-19,29.94,18.54
2020-05-20,31.15,21.88
2020-05-21,31.97,24.43
2020-05-22,31.65,27.36
2020-05-23,32.95,28.99
2020-05-24,33.08,30.85
2020-05-25,33.68,30.28
2020-05-26,33.72,32.55
2020-05-27,32.83,34.71
2020-05-28,32.71,37.4
2020-05-29,32.56,38.79
2020-05-30,31.44,40.61
2020-05-31,30.64,41.82
2020-06-01,30.67,46.56
2020-06-02,29.93,49.57
2020-06-03,29.36,49.48
