Semana,Secuencias,20B/S:732A,"20H (Beta, V2)","20I (Alpha, V1)","20J (Gamma, V3)",21A (Delta),21C (Epsilon),21F (Iota),21G (Lambda),21H (Mu),21I (Delta),21J (Delta),21K (Omicron),21L (Omicron),22A (Omicron),22B (Omicron),22C (Omicron),S:677P.Pelican
2020-04-27,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-17,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-31,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-28,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,68,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,64,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,53,2.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,52,2.0,0.0,6.0,5.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,67,0.0,0.0,13.0,11.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-03-15,168,0.0,0.0,9.0,48.0,0.0,4.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-29,282,1.0,2.0,32.0,108.0,0.0,2.0,0.0,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-12,391,0.0,0.0,22.0,178.0,0.0,3.0,0.0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26,512,0.0,0.0,21.0,283.0,0.0,2.0,0.0,140.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,457,0.0,1.0,16.0,249.0,0.0,2.0,0.0,138.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,475,0.0,0.0,13.0,301.0,0.0,5.0,0.0,126.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,661,0.0,0.0,9.0,467.0,0.0,2.0,0.0,156.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,839,0.0,1.0,9.0,606.0,2.0,0.0,0.0,175.0,23.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-05,731,0.0,0.0,9.0,505.0,0.0,2.0,0.0,144.0,32.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19,607,0.0,0.0,7.0,368.0,0.0,0.0,0.0,127.0,42.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-02,827,0.0,0.0,7.0,456.0,1.0,2.0,0.0,131.0,85.0,22.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-16,745,0.0,0.0,3.0,277.0,5.0,0.0,0.0,83.0,115.0,21.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-30,1008,0.0,0.0,1.0,229.0,0.0,0.0,0.0,23.0,137.0,9.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-13,1433,0.0,0.0,0.0,68.0,0.0,0.0,0.0,11.0,90.0,13.0,1251.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-27,1521,0.0,0.0,0.0,29.0,1.0,0.0,1.0,3.0,50.0,13.0,1425.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-11,1178,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,10.0,9.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-25,1156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1147.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-22,425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,2.0,0.0,0.0,0.0,0.0,0.0
2021-12-06,792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,540.0,247.0,0.0,0.0,0.0,0.0,0.0
2021-12-20,1345,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,284.0,1059.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,1044.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,450.0,4.0,0.0,0.0,0.0,0.0
2022-01-31,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,7.0,0.0,0.0,0.0,0.0
2022-02-14,533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,28.0,0.0,0.0,0.0,0.0
2022-02-28,562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,511.0,50.0,0.0,0.0,0.0,0.0
2022-03-14,488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,114.0,0.0,1.0,2.0,0.0
2022-03-28,597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,246.0,0.0,1.0,9.0,0.0
2022-04-11,489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,288.0,0.0,0.0,24.0,0.0
2022-04-25,334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,212.0,5.0,1.0,14.0,0.0
2022-05-09,823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,623.0,37.0,6.0,83.0,0.0
2022-05-23,907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,470.0,131.0,55.0,211.0,0.0
2022-06-06,811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,232.0,279.0,128.0,144.0,0.0
2022-06-20,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,385.0,184.0,66.0,0.0
2022-07-04,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,105.0,43.0,14.0,0.0
